. Sequence file : [C:\Users\thsch\AppData\Local\Temp\seaview_tmp6.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	28   	-40220.46053	Yes        	4        	0.014    	0.000    	 0.33416   0.22508   0.24269   0.19807	-0.80257   0.12695   0.53203   0.14359  
      	     	          	           	          	           	             	                                      	 0.20854  -1.05621   0.16309   0.68459  
      	     	          	           	          	           	             	                                      	 0.73674   0.15127  -1.05145   0.16343  
      	     	          	           	          	           	             	                                      	 0.22440   0.77025   0.19824  -1.19289  

  #7	28   	-40229.62923	Yes        	4        	0.014    	0.000    	 0.33211   0.21997   0.24588   0.20204	-0.81161   0.12232   0.52511   0.16418  
      	     	          	           	          	           	             	                                      	 0.18468  -1.07269   0.16512   0.72289  
      	     	          	           	          	           	             	                                      	 0.70927   0.14772  -0.99981   0.14282  
      	     	          	           	          	           	             	                                      	 0.26989   0.78706   0.17382  -1.23076  

  #8	28   	-41271.16448	Yes        	4        	0.014    	0.000    	 0.33357   0.22543   0.24083   0.20016	-0.81421   0.13933   0.50754   0.16734  
      	     	          	           	          	           	             	                                      	 0.20616  -1.06341   0.15472   0.70253  
      	     	          	           	          	           	             	                                      	 0.70298   0.14482  -0.99377   0.14597  
      	     	          	           	          	           	             	                                      	 0.27887   0.79120   0.17563  -1.24570  

  #9	28   	-39949.34615	Yes        	4        	0.014    	0.000    	 0.33824   0.22670   0.23967   0.19539	-0.83174   0.15669   0.53106   0.14399  
      	     	          	           	          	           	             	                                      	 0.23378  -1.03348   0.16836   0.63134  
      	     	          	           	          	           	             	                                      	 0.74947   0.15925  -1.06469   0.15597  
      	     	          	           	          	           	             	                                      	 0.24927   0.73251   0.19131  -1.17308  

  #10	28   	-40467.95914	Yes        	4        	0.014    	0.000    	 0.32840   0.23159   0.23610   0.20392	-0.76799   0.12918   0.47707   0.16174  
      	     	          	           	          	           	             	                                      	 0.18318  -1.10028   0.18234   0.73476  
      	     	          	           	          	           	             	                                      	 0.66359   0.17886  -0.99241   0.14996  
      	     	          	           	          	           	             	                                      	 0.26047   0.83445   0.17363  -1.26855  

  #11	28   	-40537.80862	Yes        	4        	0.014    	0.000    	 0.33439   0.22839   0.23828   0.19894	-0.78909   0.14122   0.51273   0.13515  
      	     	          	           	          	           	             	                                      	 0.20675  -1.08026   0.18759   0.68592  
      	     	          	           	          	           	             	                                      	 0.71954   0.17981  -1.05310   0.15375  
      	     	          	           	          	           	             	                                      	 0.22716   0.78746   0.18414  -1.19876  

  #12	28   	-39969.06262	Yes        	4        	0.014    	0.000    	 0.33175   0.23080   0.24073   0.19672	-0.82523   0.12107   0.54925   0.15491  
      	     	          	           	          	           	             	                                      	 0.17403  -0.98595   0.17205   0.63988  
      	     	          	           	          	           	             	                                      	 0.75693   0.16495  -1.08321   0.16134  
      	     	          	           	          	           	             	                                      	 0.26124   0.75072   0.19743  -1.20940  

  #13	28   	-39934.13232	Yes        	4        	0.014    	0.000    	 0.33524   0.22340   0.24282   0.19854	-0.85466   0.18399   0.54669   0.12397  
      	     	          	           	          	           	             	                                      	 0.27611  -1.02737   0.17281   0.57845  
      	     	          	           	          	           	             	                                      	 0.75477   0.15899  -1.10176   0.18800  
      	     	          	           	          	           	             	                                      	 0.20934   0.65089   0.22994  -1.09016  

  #14	28   	-40238.49118	Yes        	4        	0.014    	0.000    	 0.33461   0.22832   0.23993   0.19714	-0.81669   0.12458   0.55355   0.13857  
      	     	          	           	          	           	             	                                      	 0.18257  -1.01149   0.16433   0.66459  
      	     	          	           	          	           	             	                                      	 0.77197   0.15638  -1.08452   0.15617  
      	     	          	           	          	           	             	                                      	 0.23519   0.76970   0.19006  -1.19495  

  #15	28   	-40900.31240	Yes        	4        	0.014    	0.000    	 0.33509   0.22679   0.23588   0.20223	-0.78295   0.16056   0.48066   0.14173  
      	     	          	           	          	           	             	                                      	 0.23723  -1.11588   0.16281   0.71584  
      	     	          	           	          	           	             	                                      	 0.68283   0.15654  -1.00203   0.16266  
      	     	          	           	          	           	             	                                      	 0.23483   0.80277   0.18972  -1.22733  

  #16	28   	-40287.43678	Yes        	4        	0.014    	0.000    	 0.33069   0.22903   0.23902   0.20126	-0.82313   0.15191   0.50885   0.16236  
      	     	          	           	          	           	             	                                      	 0.21934  -1.04030   0.17863   0.64233  
      	     	          	           	          	           	             	                                      	 0.70401   0.17117  -1.04158   0.16640  
      	     	          	           	          	           	             	                                      	 0.26678   0.73098   0.19762  -1.19538  

  #17	28   	-41105.04184	Yes        	4        	0.014    	0.000    	 0.33127   0.22710   0.24570   0.19593	-0.78710   0.13489   0.51012   0.14209  
      	     	          	           	          	           	             	                                      	 0.19676  -1.05556   0.21885   0.63994  
      	     	          	           	          	           	             	                                      	 0.68778   0.20228  -1.07006   0.18001  
      	     	          	           	          	           	             	                                      	 0.24025   0.74173   0.22573  -1.20771  

  #18	28   	-40774.80616	Yes        	4        	0.014    	0.000    	 0.33302   0.22615   0.24044   0.20039	-0.86015   0.13787   0.55745   0.16482  
      	     	          	           	          	           	             	                                      	 0.20302  -0.97885   0.15883   0.61700  
      	     	          	           	          	           	             	                                      	 0.77207   0.14939  -1.07993   0.15847  
      	     	          	           	          	           	             	                                      	 0.27391   0.69633   0.19014  -1.16038  

  #19	28   	-39898.23552	Yes        	4        	0.014    	0.000    	 0.33648   0.22913   0.23661   0.19778	-0.78828   0.13277   0.52060   0.13491  
      	     	          	           	          	           	             	                                      	 0.19497  -1.05117   0.15438   0.70182  
      	     	          	           	          	           	             	                                      	 0.74034   0.14950  -1.05288   0.16304  
      	     	          	           	          	           	             	                                      	 0.22953   0.81308   0.19505  -1.23766  

  #20	28   	-40006.57593	Yes        	4        	0.021    	0.000    	 0.33876   0.22710   0.24083   0.19330	-0.78350   0.14972   0.50990   0.12388  
      	     	          	           	          	           	             	                                      	 0.22333  -1.11348   0.17214   0.71801  
      	     	          	           	          	           	             	                                      	 0.71724   0.16233  -1.01420   0.13463  
      	     	          	           	          	           	             	                                      	 0.21710   0.84358   0.16774  -1.22841  

  #21	28   	-40532.99089	Yes        	4        	0.014    	0.000    	 0.33341   0.22278   0.23972   0.20409	-0.79440   0.14371   0.50647   0.14422  
      	     	          	           	          	           	             	                                      	 0.21508  -1.09254   0.17632   0.70114  
      	     	          	           	          	           	             	                                      	 0.70441   0.16386  -1.03371   0.16544  
      	     	          	           	          	           	             	                                      	 0.23560   0.76533   0.19432  -1.19525  

  #22	28   	-40986.16969	Yes        	4        	0.014    	0.000    	 0.33245   0.22593   0.24136   0.20027	-0.87707   0.12728   0.60686   0.14294  
      	     	          	           	          	           	             	                                      	 0.18729  -0.94578   0.16812   0.59037  
      	     	          	           	          	           	             	                                      	 0.83588   0.15737  -1.14679   0.15353  
      	     	          	           	          	           	             	                                      	 0.23727   0.66601   0.18504  -1.08832  

  #23	28   	-39783.90509	Yes        	4        	0.014    	0.000    	 0.33294   0.23043   0.23476   0.20186	-0.75065   0.14245   0.47095   0.13725  
      	     	          	           	          	           	             	                                      	 0.20582  -1.13600   0.19424   0.73594  
      	     	          	           	          	           	             	                                      	 0.66792   0.19065  -1.01078   0.15221  
      	     	          	           	          	           	             	                                      	 0.22637   0.84010   0.17702  -1.24349  

  #24	28   	-40111.70437	Yes        	4        	0.014    	0.000    	 0.33298   0.22988   0.24392   0.19323	-0.82866   0.13154   0.56220   0.13491  
      	     	          	           	          	           	             	                                      	 0.19054  -1.00736   0.15427   0.66255  
      	     	          	           	          	           	             	                                      	 0.76746   0.14538  -1.06169   0.14886  
      	     	          	           	          	           	             	                                      	 0.23248   0.78823   0.18791  -1.20862  

  #25	28   	-40417.14170	Yes        	4        	0.014    	0.000    	 0.33716   0.21968   0.24034   0.20283	-0.81387   0.12923   0.52603   0.15861  
      	     	          	           	          	           	             	                                      	 0.19834  -1.05626   0.16875   0.68917  
      	     	          	           	          	           	             	                                      	 0.73794   0.15425  -1.04668   0.15449  
      	     	          	           	          	           	             	                                      	 0.26365   0.74645   0.18306  -1.19315  

  #26	28   	-40461.18929	Yes        	4        	0.014    	0.000    	 0.33455   0.22639   0.23662   0.20244	-0.74031   0.14117   0.42939   0.16974  
      	     	          	           	          	           	             	                                      	 0.20862  -1.14093   0.19337   0.73894  
      	     	          	           	          	           	             	                                      	 0.60710   0.18501  -0.96651   0.17441  
      	     	          	           	          	           	             	                                      	 0.28052   0.82634   0.20385  -1.31070  

  #27	28   	-41237.58472	Yes        	4        	0.019    	0.000    	 0.32884   0.21990   0.24633   0.20493	-0.83594   0.13730   0.54578   0.15285  
      	     	          	           	          	           	             	                                      	 0.20532  -1.04997   0.16663   0.67802  
      	     	          	           	          	           	             	                                      	 0.72860   0.14875  -1.03718   0.15983  
      	     	          	           	          	           	             	                                      	 0.24528   0.72755   0.19212  -1.16495  

  #28	28   	-40416.57838	Yes        	4        	0.014    	0.000    	 0.32631   0.23427   0.23820   0.20121	-0.84689   0.17204   0.53866   0.13619  
      	     	          	           	          	           	             	                                      	 0.23963  -1.07127   0.15438   0.67726  
      	     	          	           	          	           	             	                                      	 0.73789   0.15184  -1.01073   0.12100  
      	     	          	           	          	           	             	                                      	 0.22086   0.78853   0.14324  -1.15263  

  #29	28   	-40920.37432	Yes        	4        	0.014    	0.000    	 0.33737   0.22894   0.24236   0.19133	-0.83517   0.13699   0.55749   0.14068  
      	     	          	           	          	           	             	                                      	 0.20188  -0.99767   0.16655   0.62923  
      	     	          	           	          	           	             	                                      	 0.77607   0.15733  -1.08215   0.14875  
      	     	          	           	          	           	             	                                      	 0.24806   0.75289   0.18842  -1.18938  

  #30	28   	-39813.44913	Yes        	4        	0.014    	0.000    	 0.32832   0.22853   0.24280   0.20034	-0.83019   0.13919   0.54373   0.14726  
      	     	          	           	          	           	             	                                      	 0.19997  -1.04297   0.17980   0.66320  
      	     	          	           	          	           	             	                                      	 0.73525   0.16924  -1.04771   0.14322  
      	     	          	           	          	           	             	                                      	 0.24134   0.75653   0.17358  -1.17145  

  #31	28   	-40777.20918	Yes        	4        	0.014    	0.000    	 0.33623   0.22559   0.24060   0.19758	-0.84479   0.13091   0.57191   0.14197  
      	     	          	           	          	           	             	                                      	 0.19511  -0.99850   0.18128   0.62211  
      	     	          	           	          	           	             	                                      	 0.79924   0.16997  -1.11352   0.14431  
      	     	          	           	          	           	             	                                      	 0.24159   0.71029   0.17573  -1.12761  

  #32	28   	-41375.34551	Yes        	4        	0.021    	0.000    	 0.33278   0.22497   0.23984   0.20242	-0.74236   0.13459   0.45849   0.14928  
      	     	          	           	          	           	             	                                      	 0.19909  -1.11437   0.19196   0.72332  
      	     	          	           	          	           	             	                                      	 0.63616   0.18006  -1.01241   0.19620  
      	     	          	           	          	           	             	                                      	 0.24541   0.80387   0.23246  -1.28174  

  #33	28   	-39510.15515	Yes        	4        	0.014    	0.000    	 0.33472   0.22752   0.23391   0.20384	-0.80156   0.12137   0.53925   0.14094  
      	     	          	           	          	           	             	                                      	 0.17855  -1.02046   0.19300   0.64891  
      	     	          	           	          	           	             	                                      	 0.77165   0.18773  -1.13099   0.17162  
      	     	          	           	          	           	             	                                      	 0.23144   0.72431   0.19694  -1.15270  

  #34	28   	-40008.68411	Yes        	4        	0.014    	0.000    	 0.33310   0.22327   0.24181   0.20181	-0.84686   0.15127   0.52374   0.17185  
      	     	          	           	          	           	             	                                      	 0.22568  -1.02852   0.15293   0.64990  
      	     	          	           	          	           	             	                                      	 0.72146   0.14121  -1.02253   0.15987  
      	     	          	           	          	           	             	                                      	 0.28364   0.71901   0.19155  -1.19421  

  #35	28   	-39550.93651	Yes        	4        	0.021    	0.000    	 0.33994   0.21942   0.23728   0.20336	-0.72626   0.14027   0.45921   0.12678  
      	     	          	           	          	           	             	                                      	 0.21732  -1.16332   0.18721   0.75879  
      	     	          	           	          	           	             	                                      	 0.65789   0.17311  -1.02295   0.19195  
      	     	          	           	          	           	             	                                      	 0.21193   0.81871   0.22397  -1.25461  

  #36	28   	-39643.76275	Yes        	4        	0.014    	0.000    	 0.33806   0.22232   0.24074   0.19888	-0.73881   0.10605   0.48831   0.14445  
      	     	          	           	          	           	             	                                      	 0.16126  -1.12663   0.18973   0.77564  
      	     	          	           	          	           	             	                                      	 0.68570   0.17521  -1.00887   0.14796  
      	     	          	           	          	           	             	                                      	 0.24554   0.86703   0.17910  -1.29167  

  #37	28   	-39761.31023	Yes        	4        	0.014    	0.000    	 0.32643   0.23468   0.24037   0.19852	-0.81309   0.13753   0.51792   0.15764  
      	     	          	           	          	           	             	                                      	 0.19130  -1.04252   0.18147   0.66975  
      	     	          	           	          	           	             	                                      	 0.70336   0.17718  -1.02539   0.14484  
      	     	          	           	          	           	             	                                      	 0.25921   0.79176   0.17538  -1.22635  

  #38	28   	-39360.36091	Yes        	4        	0.014    	0.000    	 0.33381   0.22478   0.24315   0.19826	-0.79053   0.15133   0.50802   0.13117  
      	     	          	           	          	           	             	                                      	 0.22474  -1.09462   0.16892   0.70096  
      	     	          	           	          	           	             	                                      	 0.69743   0.15616  -1.02049   0.16690  
      	     	          	           	          	           	             	                                      	 0.22086   0.79472   0.20469  -1.22028  

  #39	28   	-39448.67150	Yes        	4        	0.017    	0.000    	 0.33667   0.22882   0.23587   0.19863	-0.82384   0.13992   0.53126   0.15267  
      	     	          	           	          	           	             	                                      	 0.20587  -1.02619   0.16499   0.65533  
      	     	          	           	          	           	             	                                      	 0.75828   0.16006  -1.06642   0.14808  
      	     	          	           	          	           	             	                                      	 0.25877   0.75494   0.17584  -1.18955  

  #40	28   	-40102.37614	Yes        	4        	0.017    	0.000    	 0.33385   0.22293   0.24331   0.19991	-0.77580   0.12000   0.49960   0.15619  
      	     	          	           	          	           	             	                                      	 0.17970  -1.08281   0.17503   0.72808  
      	     	          	           	          	           	             	                                      	 0.68550   0.16037  -1.00892   0.16306  
      	     	          	           	          	           	             	                                      	 0.26084   0.81191   0.19846  -1.27120  

  #41	28   	-40111.26840	Yes        	4        	0.017    	0.000    	 0.33381   0.22909   0.23839   0.19871	-0.81190   0.16455   0.51197   0.13538  
      	     	          	           	          	           	             	                                      	 0.23977  -1.06356   0.17874   0.64506  
      	     	          	           	          	           	             	                                      	 0.71690   0.17177  -1.05755   0.16888  
      	     	          	           	          	           	             	                                      	 0.22742   0.74366   0.20259  -1.17367  

  #42	28   	-39688.65578	Yes        	4        	0.014    	0.000    	 0.33792   0.22635   0.23712   0.19861	-0.78133   0.14301   0.48381   0.15451  
      	     	          	           	          	           	             	                                      	 0.21351  -1.07839   0.17573   0.68915  
      	     	          	           	          	           	             	                                      	 0.68950   0.16775  -1.02679   0.16954  
      	     	          	           	          	           	             	                                      	 0.26289   0.78543   0.20241  -1.25073  

  #43	28   	-40093.29828	Yes        	4        	0.015    	0.000    	 0.33090   0.23017   0.23645   0.20248	-0.82738   0.11910   0.54575   0.16253  
      	     	          	           	          	           	             	                                      	 0.17122  -0.99086   0.13911   0.68054  
      	     	          	           	          	           	             	                                      	 0.76373   0.13541  -1.05800   0.15885  
      	     	          	           	          	           	             	                                      	 0.26562   0.77363   0.18551  -1.22476  

  #44	28   	-40277.68157	Yes        	4        	0.014    	0.000    	 0.33039   0.22760   0.24439   0.19762	-0.82288   0.14695   0.52634   0.14959  
      	     	          	           	          	           	             	                                      	 0.21331  -1.03670   0.17362   0.64977  
      	     	          	           	          	           	             	                                      	 0.71155   0.16169  -1.03988   0.16663  
      	     	          	           	          	           	             	                                      	 0.25010   0.74836   0.20607  -1.20452  

  #45	28   	-40827.71784	Yes        	4        	0.019    	0.000    	 0.33219   0.23022   0.24143   0.19615	-0.83207   0.16244   0.53860   0.13104  
      	     	          	           	          	           	             	                                      	 0.23438  -1.04450   0.16507   0.64505  
      	     	          	           	          	           	             	                                      	 0.74108   0.15740  -1.05207   0.15359  
      	     	          	           	          	           	             	                                      	 0.22192   0.75710   0.18905  -1.16807  

  #46	28   	-40147.58062	Yes        	4        	0.014    	0.000    	 0.33914   0.22654   0.23765   0.19667	-0.76285   0.16323   0.49856   0.10105  
      	     	          	           	          	           	             	                                      	 0.24437  -1.15065   0.16295   0.74333  
      	     	          	           	          	           	             	                                      	 0.71147   0.15533  -1.01820   0.15140  
      	     	          	           	          	           	             	                                      	 0.17426   0.85622   0.18295  -1.21343  

  #47	28   	-40316.48536	Yes        	4        	0.014    	0.000    	 0.33479   0.22654   0.24194   0.19673	-0.76047   0.15845   0.46848   0.13354  
      	     	          	           	          	           	             	                                      	 0.23417  -1.14429   0.16979   0.74032  
      	     	          	           	          	           	             	                                      	 0.64828   0.15899  -0.96939   0.16213  
      	     	          	           	          	           	             	                                      	 0.22725   0.85249   0.19938  -1.27911  

  #48	28   	-39926.96695	Yes        	4        	0.014    	0.000    	 0.33424   0.22503   0.24059   0.20014	-0.77481   0.15123   0.48441   0.13917  
      	     	          	           	          	           	             	                                      	 0.22463  -1.09958   0.15293   0.72202  
      	     	          	           	          	           	             	                                      	 0.67296   0.14304  -0.99946   0.18346  
      	     	          	           	          	           	             	                                      	 0.23242   0.81180   0.22054  -1.26475  

  #49	28   	-39513.46428	Yes        	4        	0.014    	0.000    	 0.33710   0.22253   0.24407   0.19630	-0.79024   0.17125   0.48357   0.13542  
      	     	          	           	          	           	             	                                      	 0.25941  -1.16349   0.19139   0.71269  
      	     	          	           	          	           	             	                                      	 0.66789   0.17450  -0.97523   0.13283  
      	     	          	           	          	           	             	                                      	 0.23256   0.80795   0.16516  -1.20568  

  #50	28   	-38798.83343	Yes        	4        	0.014    	0.000    	 0.33608   0.22674   0.23904   0.19813	-0.79693   0.15136   0.51609   0.12948  
      	     	          	           	          	           	             	                                      	 0.22435  -1.10391   0.15412   0.72544  
      	     	          	           	          	           	             	                                      	 0.72558   0.14619  -1.00871   0.13694  
      	     	          	           	          	           	             	                                      	 0.21963   0.83019   0.16522  -1.21503  

  #51	28   	-39752.29528	Yes        	4        	0.014    	0.000    	 0.33579   0.22677   0.23902   0.19842	-0.79436   0.12660   0.54108   0.12668  
      	     	          	           	          	           	             	                                      	 0.18746  -1.02816   0.16829   0.67241  
      	     	          	           	          	           	             	                                      	 0.76012   0.15966  -1.09807   0.17829  
      	     	          	           	          	           	             	                                      	 0.21438   0.76851   0.21478  -1.19768  

  #52	28   	-39519.36638	Yes        	4        	0.017    	0.000    	 0.33203   0.23081   0.24049   0.19667	-0.78315   0.13072   0.52691   0.12552  
      	     	          	           	          	           	             	                                      	 0.18806  -1.06032   0.14534   0.72692  
      	     	          	           	          	           	             	                                      	 0.72749   0.13949  -1.02766   0.16068  
      	     	          	           	          	           	             	                                      	 0.21191   0.85309   0.19648  -1.26148  

  #53	28   	-41695.89928	Yes        	4        	0.019    	0.000    	 0.33458   0.22819   0.23928   0.19795	-0.79742   0.16102   0.49292   0.14348  
      	     	          	           	          	           	             	                                      	 0.23609  -1.09054   0.19945   0.65500  
      	     	          	           	          	           	             	                                      	 0.68926   0.19020  -1.03921   0.15975  
      	     	          	           	          	           	             	                                      	 0.24251   0.75503   0.19310  -1.19064  

  #54	28   	-39715.99245	Yes        	4        	0.017    	0.000    	 0.33630   0.22865   0.23652   0.19853	-0.81678   0.14614   0.54444   0.12620  
      	     	          	           	          	           	             	                                      	 0.21495  -1.03941   0.18174   0.64273  
      	     	          	           	          	           	             	                                      	 0.77413   0.17569  -1.10541   0.15559  
      	     	          	           	          	           	             	                                      	 0.21377   0.74025   0.18537  -1.13939  

  #55	28   	-39891.81014	Yes        	4        	0.014    	0.000    	 0.32942   0.22411   0.24539   0.20108	-0.79915   0.13450   0.52005   0.14460  
      	     	          	           	          	           	             	                                      	 0.19771  -1.04833   0.18297   0.66765  
      	     	          	           	          	           	             	                                      	 0.69814   0.16710  -1.05313   0.18789  
      	     	          	           	          	           	             	                                      	 0.23691   0.74414   0.22930  -1.21034  

  #56	28   	-40917.93525	Yes        	4        	0.014    	0.000    	 0.33092   0.22785   0.24242   0.19880	-0.81840   0.14434   0.55300   0.12107  
      	     	          	           	          	           	             	                                      	 0.20963  -1.05358   0.15215   0.69180  
      	     	          	           	          	           	             	                                      	 0.75488   0.14300  -1.05001   0.15213  
      	     	          	           	          	           	             	                                      	 0.20153   0.79287   0.18551  -1.17990  

  #57	28   	-40653.40773	Yes        	4        	0.014    	0.000    	 0.33332   0.22786   0.23717   0.20166	-0.80813   0.14693   0.52066   0.14055  
      	     	          	           	          	           	             	                                      	 0.21493  -1.06565   0.17726   0.67346  
      	     	          	           	          	           	             	                                      	 0.73175   0.17030  -1.05718   0.15513  
      	     	          	           	          	           	             	                                      	 0.23231   0.76096   0.18244  -1.17571  

  #58	28   	-40145.40083	Yes        	4        	0.014    	0.000    	 0.33279   0.22041   0.24557   0.20122	-0.77860   0.12808   0.52110   0.12942  
      	     	          	           	          	           	             	                                      	 0.19339  -1.11693   0.20078   0.72277  
      	     	          	           	          	           	             	                                      	 0.70617   0.18021  -1.03837   0.15199  
      	     	          	           	          	           	             	                                      	 0.21405   0.79170   0.18550  -1.19125  

  #59	28   	-39824.40006	Yes        	4        	0.014    	0.000    	 0.33156   0.22723   0.24002   0.20119	-0.81424   0.13663   0.53098   0.14663  
      	     	          	           	          	           	             	                                      	 0.19937  -1.02253   0.20959   0.61358  
      	     	          	           	          	           	             	                                      	 0.73348   0.19842  -1.11097   0.17907  
      	     	          	           	          	           	             	                                      	 0.24166   0.69300   0.21364  -1.14830  

  #60	28   	-40745.56124	Yes        	4        	0.014    	0.000    	 0.32517   0.22976   0.24731   0.19776	-0.76898   0.13207   0.51629   0.12063  
      	     	          	           	          	           	             	                                      	 0.18690  -1.14102   0.20422   0.74990  
      	     	          	           	          	           	             	                                      	 0.67883   0.18973  -0.99280   0.12425  
      	     	          	           	          	           	             	                                      	 0.19835   0.87128   0.15538  -1.22501  

  #61	28   	-40143.02257	Yes        	4        	0.014    	0.000    	 0.32816   0.22844   0.23889   0.20451	-0.84543   0.14015   0.57130   0.13398  
      	     	          	           	          	           	             	                                      	 0.20133  -1.02159   0.16164   0.65862  
      	     	          	           	          	           	             	                                      	 0.78479   0.15457  -1.08664   0.14728  
      	     	          	           	          	           	             	                                      	 0.21498   0.73568   0.17203  -1.12269  

  #62	28   	-40297.92277	Yes        	4        	0.017    	0.000    	 0.32895   0.22725   0.24684   0.19697	-0.81508   0.15223   0.52459   0.13826  
      	     	          	           	          	           	             	                                      	 0.22036  -1.08122   0.19727   0.66359  
      	     	          	           	          	           	             	                                      	 0.69909   0.18162  -1.02757   0.14686  
      	     	          	           	          	           	             	                                      	 0.23090   0.76562   0.18404  -1.18056  

  #63	28   	-39666.67297	Yes        	4        	0.014    	0.000    	 0.32619   0.23345   0.24094   0.19942	-0.80172   0.13331   0.53553   0.13288  
      	     	          	           	          	           	             	                                      	 0.18626  -1.01282   0.15391   0.67264  
      	     	          	           	          	           	             	                                      	 0.72499   0.14912  -1.06307   0.18896  
      	     	          	           	          	           	             	                                      	 0.21735   0.78746   0.22831  -1.23313  

  #64	28   	-40403.98613	Yes        	4        	0.014    	0.000    	 0.33690   0.22192   0.23650   0.20469	-0.83110   0.13788   0.52400   0.16922  
      	     	          	           	          	           	             	                                      	 0.20932  -1.02514   0.18583   0.63000  
      	     	          	           	          	           	             	                                      	 0.74644   0.17437  -1.08555   0.16474  
      	     	          	           	          	           	             	                                      	 0.27852   0.68302   0.19034  -1.15189  

  #65	28   	-40426.96733	Yes        	4        	0.014    	0.000    	 0.33225   0.22500   0.24240   0.20035	-0.80742   0.13560   0.53118   0.14064  
      	     	          	           	          	           	             	                                      	 0.20024  -1.08024   0.18262   0.69738  
      	     	          	           	          	           	             	                                      	 0.72806   0.16951  -1.03674   0.13917  
      	     	          	           	          	           	             	                                      	 0.23324   0.78318   0.16838  -1.18480  

  #66	28   	-41120.73970	Yes        	4        	0.021    	0.000    	 0.33521   0.22788   0.23637   0.20054	-0.81722   0.13867   0.54922   0.12933  
      	     	          	           	          	           	             	                                      	 0.20398  -1.04108   0.17412   0.66298  
      	     	          	           	          	           	             	                                      	 0.77889   0.16787  -1.09609   0.14933  
      	     	          	           	          	           	             	                                      	 0.21618   0.75339   0.17601  -1.14558  

  #67	28   	-40656.56926	Yes        	4        	0.014    	0.000    	 0.33751   0.22752   0.24219   0.19278	-0.81966   0.14132   0.53774   0.14060  
      	     	          	           	          	           	             	                                      	 0.20964  -1.03700   0.16961   0.65775  
      	     	          	           	          	           	             	                                      	 0.74940   0.15935  -1.05372   0.14497  
      	     	          	           	          	           	             	                                      	 0.24615   0.77629   0.18213  -1.20457  

  #68	28   	-39321.93552	Yes        	4        	0.021    	0.000    	 0.33588   0.23216   0.23613   0.19583	-0.79088   0.13836   0.51467   0.13785  
      	     	          	           	          	           	             	                                      	 0.20017  -1.06986   0.21057   0.65911  
      	     	          	           	          	           	             	                                      	 0.73210   0.20703  -1.07657   0.13745  
