. Sequence file : [C:\Users\thsch\AppData\Local\Temp\seaview_tmp5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	28   	-32251.77773	Yes        	4        	0.017    	0.000    	 0.18945   0.26314   0.24528   0.30213	-1.23362   0.19972   0.92733   0.10657  
      	     	          	           	          	           	             	                                      	 0.08905   0.57569   0.14231  -0.80705  

  #11	28   	-31129.72647	Yes        	4        	0.017    	0.000    	 0.20151   0.25889   0.23946   0.30014	-1.14139   0.15109   0.84937   0.14093  
      	     	          	           	          	           	             	                                      	 0.11760  -0.99761   0.14067   0.73934  
      	     	          	           	          	           	             	                                      	 0.71478   0.15209  -1.04298   0.17611  
      	     	          	           	          	           	             	                                      	 0.09462   0.63773   0.14050  -0.87285  

  #12	28   	-30937.97512	Yes        	4        	0.017    	0.000    	 0.20009   0.26009   0.24560   0.29421	-1.15291   0.18350   0.86272   0.10669  
      	     	          	           	          	           	             	                                      	 0.14117  -1.02383   0.17165   0.71102  
      	     	          	           	          	           	             	                                      	 0.70286   0.18177  -1.04643   0.16179  
      	     	          	           	          	           	             	                                      	 0.07256   0.62856   0.13506  -0.83618  

  #13	28   	-31916.37486	Yes        	4        	0.017    	0.000    	 0.19877   0.25654   0.24752   0.29717	-1.25697   0.17690   0.97232   0.10776  
      	     	          	           	          	           	             	                                      	 0.13707  -0.95135   0.11745   0.69684  
      	     	          	           	          	           	             	                                      	 0.78082   0.12173  -1.06922   0.16667  
      	     	          	           	          	           	             	                                      	 0.07208   0.60156   0.13882  -0.81246  

  #14	28   	-31840.93913	Yes        	4        	0.021    	0.000    	 0.20006   0.24885   0.24504   0.30605	-1.27143   0.17761   0.95997   0.13385  
      	     	          	           	          	           	             	                                      	 0.14279  -0.90036   0.18444   0.57313  
      	     	          	           	          	           	             	                                      	 0.78377   0.18731  -1.20416   0.23309  
      	     	          	           	          	           	             	                                      	 0.08750   0.46600   0.18662  -0.74012  

  #15	28   	-32400.89264	Yes        	4        	0.017    	0.000    	 0.19764   0.26023   0.24582   0.29631	-1.16747   0.17628   0.85300   0.13820  
      	     	          	           	          	           	             	                                      	 0.13388  -1.01991   0.16349   0.72254  
      	     	          	           	          	           	             	                                      	 0.68582   0.17307  -1.01628   0.15739  
      	     	          	           	          	           	             	                                      	 0.09218   0.63456   0.13057  -0.85730  

  #16	28   	-31287.64721	Yes        	4        	0.021    	0.000    	 0.19916   0.25432   0.24871   0.29781	-1.20037   0.19243   0.88130   0.12664  
      	     	          	           	          	           	             	                                      	 0.15069  -1.00031   0.16893   0.68069  
      	     	          	           	          	           	             	                                      	 0.70573   0.17274  -1.05882   0.18035  
      	     	          	           	          	           	             	                                      	 0.08469   0.58130   0.15062  -0.81661  

  #17	28   	-31175.29448	Yes        	4        	0.017    	0.000    	 0.19485   0.26383   0.23940   0.30193	-1.16485   0.19678   0.86461   0.10346  
      	     	          	           	          	           	             	                                      	 0.14532  -1.03831   0.18162   0.71137  
      	     	          	           	          	           	             	                                      	 0.70371   0.20015  -1.06025   0.15638  
      	     	          	           	          	           	             	                                      	 0.06677   0.62161   0.12399  -0.81237  

  #18	28   	-31267.62158	Yes        	4        	0.017    	0.000    	 0.19208   0.25996   0.24664   0.30132	-1.25530   0.17818   0.92659   0.15053  
      	     	          	           	          	           	             	                                      	 0.13166  -0.98190   0.17877   0.67148  
      	     	          	           	          	           	             	                                      	 0.72163   0.18842  -1.06351   0.15346  
      	     	          	           	          	           	             	                                      	 0.09596   0.57931   0.12561  -0.80089  

  #19	28   	-31590.01057	Yes        	4        	0.021    	0.000    	 0.20170   0.26434   0.23562   0.29833	-1.18806   0.18598   0.87706   0.12502  
      	     	          	           	          	           	             	                                      	 0.14191  -0.97076   0.13295   0.69590  
      	     	          	           	          	           	             	                                      	 0.75079   0.14915  -1.07508   0.17515  
      	     	          	           	          	           	             	                                      	 0.08453   0.61661   0.13833  -0.83947  

  #20	28   	-32114.71660	Yes        	4        	0.017    	0.000    	 0.19810   0.25568   0.24450   0.30172	-1.23298   0.20424   0.91022   0.11852  
      	     	          	           	          	           	             	                                      	 0.15825  -1.01353   0.14715   0.70814  
      	     	          	           	          	           	             	                                      	 0.73748   0.15388  -1.04297   0.15161  
      	     	          	           	          	           	             	                                      	 0.07781   0.60007   0.12286  -0.80075  

  #21	28   	-31521.07802	Yes        	4        	0.021    	0.000    	 0.20016   0.25170   0.24370   0.30443	-1.17783   0.15982   0.87923   0.13878  
      	     	          	           	          	           	             	                                      	 0.12710  -1.03104   0.15046   0.75348  
      	     	          	           	          	           	             	                                      	 0.72217   0.15541  -1.02822   0.15065  
      	     	          	           	          	           	             	                                      	 0.09125   0.62297   0.12059  -0.83482  

  #22	28   	-31726.74597	Yes        	4        	0.021    	0.000    	 0.19976   0.25531   0.24291   0.30202	-1.18206   0.16372   0.87847   0.13986  
      	     	          	           	          	           	             	                                      	 0.12810  -1.01674   0.16327   0.72538  
      	     	          	           	          	           	             	                                      	 0.72240   0.17160  -1.04631   0.15231  
      	     	          	           	          	           	             	                                      	 0.09250   0.61318   0.12250  -0.82819  

  #23	28   	-31796.49827	Yes        	4        	0.017    	0.000    	 0.19206   0.26260   0.24638   0.29896	-1.24595   0.20615   0.87676   0.16305  
      	     	          	           	          	           	             	                                      	 0.15077  -0.98263   0.17271   0.65915  
      	     	          	           	          	           	             	                                      	 0.68345   0.18408  -1.03903   0.17150  
      	     	          	           	          	           	             	                                      	 0.10475   0.57899   0.14134  -0.82508  

  #24	28   	-31178.87316	Yes        	4        	0.017    	0.000    	 0.19904   0.25208   0.24126   0.30763	-1.23103   0.12391   0.98307   0.12405  
      	     	          	           	          	           	             	                                      	 0.09784  -0.94579   0.16541   0.68254  
      	     	          	           	          	           	             	                                      	 0.81104   0.17283  -1.15476   0.17089  
      	     	          	           	          	           	             	                                      	 0.08026   0.55930   0.13402  -0.77358  

  #25	28   	-30902.05525	Yes        	4        	0.017    	0.000    	 0.19288   0.25745   0.24782   0.30185	-1.26070   0.21774   0.95022   0.09274  
      	     	          	           	          	           	             	                                      	 0.16313  -1.02856   0.17159   0.69384  
      	     	          	           	          	           	             	                                      	 0.73959   0.17826  -1.05515   0.13730  
      	     	          	           	          	           	             	                                      	 0.05926   0.59179   0.11273  -0.76377  

  #26	28   	-31226.15894	Yes        	4        	0.017    	0.000    	 0.19625   0.25928   0.24246   0.30201	-1.22558   0.13626   0.95969   0.12962  
      	     	          	           	          	           	             	                                      	 0.10313  -0.93063   0.16699   0.66050  
      	     	          	           	          	           	             	                                      	 0.77679   0.17858  -1.14066   0.18529  
      	     	          	           	          	           	             	                                      	 0.08423   0.56707   0.14875  -0.80005  

  #27	28   	-31409.51882	Yes        	4        	0.017    	0.000    	 0.19978   0.25630   0.24517   0.29875	-1.23949   0.20885   0.94309   0.08754  
      	     	          	           	          	           	             	                                      	 0.16279  -0.96441   0.12942   0.67220  
      	     	          	           	          	           	             	                                      	 0.76850   0.13529  -1.09516   0.19137  
      	     	          	           	          	           	             	                                      	 0.05854   0.57670   0.15705  -0.79229  

  #28	28   	-30708.73938	Yes        	4        	0.017    	0.000    	 0.19955   0.25115   0.24399   0.30531	-1.24637   0.17229   0.94926   0.12482  
      	     	          	           	          	           	             	                                      	 0.13689  -1.00161   0.16504   0.69968  
      	     	          	           	          	           	             	                                      	 0.77635   0.16988  -1.08607   0.13983  
      	     	          	           	          	           	             	                                      	 0.08158   0.57555   0.11174  -0.76887  

  #29	28   	-31885.66937	Yes        	4        	0.021    	0.000    	 0.20000   0.25869   0.24266   0.29865	-1.20172   0.15153   0.89898   0.15122  
      	     	          	           	          	           	             	                                      	 0.11715  -0.92728   0.14836   0.66177  
      	     	          	           	          	           	             	                                      	 0.74096   0.15817  -1.10549   0.20636  
      	     	          	           	          	           	             	                                      	 0.10127   0.57324   0.16767  -0.84218  

  #30	28   	-31445.82964	Yes        	4        	0.017    	0.000    	 0.19765   0.25944   0.24224   0.30067	-1.22291   0.14403   0.95025   0.12864  
      	     	          	           	          	           	             	                                      	 0.10973  -0.94284   0.12235   0.71076  
      	     	          	           	          	           	             	                                      	 0.77535   0.13104  -1.08038   0.17400  
      	     	          	           	          	           	             	                                      	 0.08456   0.61328   0.14018  -0.83802  

  #31	28   	-31067.16232	Yes        	4        	0.017    	0.000    	 0.19698   0.26457   0.24116   0.29729	-1.16255   0.16659   0.87387   0.12209  
      	     	          	           	          	           	             	                                      	 0.12404  -0.99061   0.16006   0.70651  
      	     	          	           	          	           	             	                                      	 0.71380   0.17560  -1.06244   0.17305  
      	     	          	           	          	           	             	                                      	 0.08089   0.62874   0.14037  -0.85000  

  #32	28   	-31485.73916	Yes        	4        	0.021    	0.000    	 0.19731   0.25655   0.24687   0.29927	-1.25392   0.19082   0.93395   0.12915  
      	     	          	           	          	           	             	                                      	 0.14676  -0.95315   0.11876   0.68764  
      	     	          	           	          	           	             	                                      	 0.74645   0.12342  -1.05501   0.18515  
      	     	          	           	          	           	             	                                      	 0.08515   0.58949   0.15273  -0.82737  

  #33	28   	-31227.98448	Yes        	4        	0.017    	0.000    	 0.19210   0.25790   0.24643   0.30357	-1.24186   0.23480   0.89444   0.11261  
      	     	          	           	          	           	             	                                      	 0.17490  -1.04655   0.16534   0.70631  
      	     	          	           	          	           	             	                                      	 0.69726   0.17304  -1.01896   0.14866  
      	     	          	           	          	           	             	                                      	 0.07126   0.60007   0.12068  -0.79201  

  #34	28   	-31805.53028	Yes        	4        	0.017    	0.000    	 0.19774   0.25845   0.24160   0.30221	-1.25168   0.21356   0.89655   0.14158  
      	     	          	           	          	           	             	                                      	 0.16339  -0.99964   0.13621   0.70003  
      	     	          	           	          	           	             	                                      	 0.73380   0.14571  -1.03003   0.15052  
      	     	          	           	          	           	             	                                      	 0.09263   0.59866   0.12033  -0.81162  

  #35	28   	-31726.73244	Yes        	4        	0.017    	0.000    	 0.19526   0.26500   0.24017   0.29957	-1.13933   0.14839   0.84911   0.14183  
      	     	          	           	          	           	             	                                      	 0.10934  -0.97130   0.17215   0.68981  
      	     	          	           	          	           	             	                                      	 0.69034   0.18995  -1.08477   0.20448  
      	     	          	           	          	           	             	                                      	 0.09245   0.61022   0.16394  -0.86661  

  #36	28   	-31367.63343	Yes        	4        	0.021    	0.000    	 0.19396   0.25871   0.24123   0.30611	-1.31879   0.19823   0.95692   0.16363  
      	     	          	           	          	           	             	                                      	 0.14862  -0.97256   0.16029   0.66364  
      	     	          	           	          	           	             	                                      	 0.76943   0.17191  -1.07005   0.12871  
      	     	          	           	          	           	             	                                      	 0.10369   0.56088   0.10143  -0.76599  

  #37	28   	-31854.99617	Yes        	4        	0.017    	0.000    	 0.19123   0.26258   0.24000   0.30619	-1.25143   0.20364   0.89030   0.15749  
      	     	          	           	          	           	             	                                      	 0.14830  -1.01088   0.14742   0.71516  
      	     	          	           	          	           	             	                                      	 0.70936   0.16129  -1.01312   0.14247  
      	     	          	           	          	           	             	                                      	 0.09836   0.61332   0.11168  -0.82336  

  #38	28   	-31699.37557	Yes        	4        	0.017    	0.000    	 0.19919   0.25749   0.24201   0.30132	-1.21413   0.17209   0.88725   0.15479  
      	     	          	           	          	           	             	                                      	 0.13312  -0.96464   0.15381   0.67771  
      	     	          	           	          	           	             	                                      	 0.73026   0.16365  -1.07596   0.18205  
      	     	          	           	          	           	             	                                      	 0.10232   0.57912   0.14621  -0.82766  

  #39	28   	-31673.28615	Yes        	4        	0.017    	0.000    	 0.19852   0.25335   0.24480   0.30333	-1.23900   0.15460   0.92646   0.15794  
      	     	          	           	          	           	             	                                      	 0.12115  -0.94507   0.16808   0.65584  
      	     	          	           	          	           	             	                                      	 0.75134   0.17396  -1.11029   0.18500  
      	     	          	           	          	           	             	                                      	 0.10337   0.54778   0.14930  -0.80045  

  #40	28   	-31901.31177	Yes        	4        	0.017    	0.000    	 0.19734   0.26127   0.24516   0.29624	-1.23208   0.17143   0.93871   0.12193  
      	     	          	           	          	           	             	                                      	 0.12948  -0.95908   0.17245   0.65716  
      	     	          	           	          	           	             	                                      	 0.75560   0.18378  -1.10303   0.16365  
      	     	          	           	          	           	             	                                      	 0.08122   0.57957   0.13543  -0.79623  

  #41	28   	-31685.44790	Yes        	4        	0.017    	0.000    	 0.19757   0.25929   0.24118   0.30195	-1.23059   0.15976   0.91466   0.15617  
      	     	          	           	          	           	             	                                      	 0.12173  -0.98106   0.17005   0.68928  
      	     	          	           	          	           	             	                                      	 0.74927   0.18282  -1.07328   0.14119  
      	     	          	           	          	           	             	                                      	 0.10218   0.59190   0.11277  -0.80685  

  #42	28   	-31272.34543	Yes        	4        	0.017    	0.000    	 0.20131   0.25479   0.23598   0.30792	-1.14963   0.19176   0.86300   0.09488  
      	     	          	           	          	           	             	                                      	 0.15150  -1.05993   0.17879   0.72963  
      	     	          	           	          	           	             	                                      	 0.73622   0.19305  -1.08650   0.15724  
      	     	          	           	          	           	             	                                      	 0.06203   0.60375   0.12050  -0.78629  

  #43	28   	-31609.31723	Yes        	4        	0.017    	0.000    	 0.19623   0.26383   0.23918   0.30076	-1.33185   0.19275   1.00312   0.13599  
      	     	          	           	          	           	             	                                      	 0.14336  -0.91963   0.14709   0.62919  
      	     	          	           	          	           	             	                                      	 0.82299   0.16225  -1.12673   0.14149  
      	     	          	           	          	           	             	                                      	 0.08873   0.55195   0.11252  -0.75320  

  #44	28   	-31109.58633	Yes        	4        	0.017    	0.000    	 0.19601   0.26169   0.24701   0.29529	-1.26386   0.17790   0.92631   0.15966  
      	     	          	           	          	           	             	                                      	 0.13325  -0.94200   0.14418   0.66458  
      	     	          	           	          	           	             	                                      	 0.73505   0.15275  -1.05228   0.16448  
      	     	          	           	          	           	             	                                      	 0.10598   0.58896   0.13759  -0.83252  

  #45	28   	-31874.80909	Yes        	4        	0.017    	0.000    	 0.19722   0.26121   0.24636   0.29521	-1.35193   0.19619   1.00074   0.15500  
      	     	          	           	          	           	             	                                      	 0.14813  -0.93798   0.12313   0.66672  
      	     	          	           	          	           	             	                                      	 0.80116   0.13056  -1.04152   0.10980  
      	     	          	           	          	           	             	                                      	 0.10355   0.58993   0.09163  -0.78511  

  #46	28   	-31536.95493	Yes        	4        	0.021    	0.000    	 0.19979   0.25471   0.24481   0.30070	-1.11498   0.17806   0.80339   0.13353  
      	     	          	           	          	           	             	                                      	 0.13966  -1.07187   0.18673   0.74548  
      	     	          	           	          	           	             	                                      	 0.65564   0.19429  -1.01250   0.16257  
      	     	          	           	          	           	             	                                      	 0.08872   0.63147   0.13235  -0.85255  

  #47	28   	-31292.16668	Yes        	4        	0.017    	0.000    	 0.19961   0.25710   0.24405   0.29924	-1.19004   0.18409   0.84909   0.15686  
      	     	          	           	          	           	             	                                      	 0.14292  -1.01382   0.15658   0.71431  
      	     	          	           	          	           	             	                                      	 0.69447   0.16496  -1.01738   0.15795  
      	     	          	           	          	           	             	                                      	 0.10464   0.61373   0.12882  -0.84718  

  #48	28   	-32798.52875	Yes        	4        	0.017    	0.000    	 0.19924   0.25177   0.24632   0.30267	-1.18438   0.17306   0.83430   0.17703  
      	     	          	           	          	           	             	                                      	 0.13696  -0.97520   0.16968   0.66857  
      	     	          	           	          	           	             	                                      	 0.67484   0.17343  -1.06334   0.21507  
      	     	          	           	          	           	             	                                      	 0.11653   0.55613   0.17503  -0.84770  

  #49	28   	-31533.46996	Yes        	4        	0.017    	0.000    	 0.19511   0.25361   0.24432   0.30696	-1.25462   0.16634   0.93783   0.15044  
      	     	          	           	          	           	             	                                      	 0.12797  -0.95858   0.16395   0.66667  
      	     	          	           	          	           	             	                                      	 0.74892   0.17019  -1.10150   0.18239  
      	     	          	           	          	           	             	                                      	 0.09562   0.55081   0.14517  -0.79160  

  #50	28   	-31523.59189	Yes        	4        	0.021    	0.000    	 0.20036   0.25020   0.24995   0.29949	-1.22149   0.12030   0.92032   0.18087  
      	     	          	           	          	           	             	                                      	 0.09634  -0.95806   0.18631   0.67541  
      	     	          	           	          	           	             	                                      	 0.73773   0.18650  -1.08290   0.15867  
      	     	          	           	          	           	             	                                      	 0.12100   0.56425   0.13242  -0.81767  

  #51	28   	-30918.99399	Yes        	4        	0.017    	0.000    	 0.19969   0.25491   0.24173   0.30367	-1.24327   0.16992   0.95787   0.11548  
      	     	          	           	          	           	             	                                      	 0.13311  -0.97743   0.15187   0.69245  
      	     	          	           	          	           	             	                                      	 0.79127   0.16015  -1.10243   0.15101  
      	     	          	           	          	           	             	                                      	 0.07594   0.58128   0.12021  -0.77743  

  #52	28   	-31094.97782	Yes        	4        	0.017    	0.000    	 0.19359   0.26339   0.24256   0.30046	-1.17714   0.22144   0.84821   0.10750  
      	     	          	           	          	           	             	                                      	 0.16276  -1.05055   0.14902   0.73877  
      	     	          	           	          	           	             	                                      	 0.67696   0.16181  -0.99660   0.15782  
      	     	          	           	          	           	             	                                      	 0.06927   0.64762   0.12741  -0.84430  

  #53	28   	-32065.31528	Yes        	4        	0.021    	0.000    	 0.19592   0.25425   0.24444   0.30539	-1.30859   0.20062   0.98455   0.12343  
      	     	          	           	          	           	             	                                      	 0.15459  -0.95966   0.15975   0.64532  
      	     	          	           	          	           	             	                                      	 0.78915   0.16616  -1.11457   0.15926  
      	     	          	           	          	           	             	                                      	 0.07918   0.53725   0.12747  -0.74390  

  #54	28   	-31481.52684	Yes        	4        	0.021    	0.000    	 0.19233   0.26295   0.24210   0.30262	-1.22491   0.15697   0.89811   0.16983  
      	     	          	           	          	           	             	                                      	 0.11481  -0.97817   0.14294   0.72042  
      	     	          	           	          	           	             	                                      	 0.71349   0.15525  -1.02319   0.15445  
      	     	          	           	          	           	             	                                      	 0.10793   0.62599   0.12356  -0.85748  

  #55	28   	-31809.83804	Yes        	4        	0.021    	0.000    	 0.20037   0.26305   0.24800   0.28857	-1.25872   0.16684   0.94959   0.14229  
      	     	          	           	          	           	             	                                      	 0.12709  -0.91884   0.14854   0.64322  
      	     	          	           	          	           	             	                                      	 0.76719   0.15755  -1.08409   0.15935  
      	     	          	           	          	           	             	                                      	 0.09880   0.58633   0.13695  -0.82208  

  #56	28   	-32286.39677	Yes        	4        	0.017    	0.000    	 0.19322   0.25355   0.24720   0.30603	-1.30046   0.20165   0.93702   0.16179  
      	     	          	           	          	           	             	                                      	 0.15367  -0.98880   0.16945   0.66567  
      	     	          	           	          	           	             	                                      	 0.73243   0.17380  -1.05582   0.14959  
      	     	          	           	          	           	             	                                      	 0.10215   0.55151   0.12083  -0.77449  

  #57	28   	-31827.09716	Yes        	4        	0.017    	0.000    	 0.19510   0.26205   0.24321   0.29964	-1.32108   0.22028   0.94590   0.15491  
      	     	          	           	          	           	             	                                      	 0.16400  -0.92177   0.14130   0.61647  
      	     	          	           	          	           	             	                                      	 0.75881   0.15225  -1.09066   0.17960  
      	     	          	           	          	           	             	                                      	 0.10086   0.53913   0.14577  -0.78577  

  #58	28   	-30961.21680	Yes        	4        	0.017    	0.000    	 0.19720   0.25670   0.24608   0.30002	-1.14022   0.16818   0.85323   0.11881  
      	     	          	           	          	           	             	                                      	 0.12920  -1.05242   0.17164   0.75158  
      	     	          	           	          	           	             	                                      	 0.68374   0.17904  -1.01785   0.15507  
      	     	          	           	          	           	             	                                      	 0.07810   0.64305   0.12720  -0.84834  

  #59	28   	-31538.71256	Yes        	4        	0.017    	0.000    	 0.20302   0.26037   0.23575   0.30086	-1.15102   0.17475   0.85566   0.12061  
      	     	          	           	          	           	             	                                      	 0.13626  -1.03131   0.17706   0.71799  
      	     	          	           	          	           	             	                                      	 0.73689   0.19556  -1.07357   0.14112  
      	     	          	           	          	           	             	                                      	 0.08139   0.62138   0.11058  -0.81334  

  #60	28   	-31820.39337	Yes        	4        	0.021    	0.000    	 0.19710   0.26066   0.24110   0.30114	-1.23496   0.18213   0.90606   0.14677  
      	     	          	           	          	           	             	                                      	 0.13772  -0.95601   0.18059   0.63770  
      	     	          	           	          	           	             	                                      	 0.74070   0.19524  -1.11551   0.17957  
      	     	          	           	          	           	             	                                      	 0.09606   0.55198   0.14377  -0.79182  

  #61	28   	-31238.78537	Yes        	4        	0.017    	0.000    	 0.20582   0.24796   0.24820   0.29802	-1.12820   0.12555   0.90172   0.10093  
      	     	          	           	          	           	             	                                      	 0.10422  -1.02539   0.13405   0.78713  
      	     	          	           	          	           	             	                                      	 0.74774   0.13392  -1.04031   0.15865  
      	     	          	           	          	           	             	                                      	 0.06971   0.65492   0.13213  -0.85676  

  #62	28   	-31928.44414	Yes        	4        	0.021    	0.000    	 0.19829   0.26211   0.23878   0.30082	-1.15511   0.23790   0.79462   0.12259  
      	     	          	           	          	           	             	                                      	 0.17998  -1.04077   0.15202   0.70877  
      	     	          	           	          	           	             	                                      	 0.65988   0.16687  -1.01660   0.18985  
      	     	          	           	          	           	             	                                      	 0.08081   0.61756   0.15070  -0.84906  

  #63	28   	-31257.48198	Yes        	4        	0.021    	0.000    	 0.19960   0.26104   0.24458   0.29478	-1.20816   0.15034   0.93512   0.12269  
      	     	          	           	          	           	             	                                      	 0.11495  -0.93982   0.15678   0.66809  
      	     	          	           	          	           	             	                                      	 0.76315   0.16733  -1.10846   0.17798  
      	     	          	           	          	           	             	                                      	 0.08308   0.59161   0.14767  -0.82236  

  #64	28   	-31546.26486	Yes        	4        	0.021    	0.000    	 0.19795   0.25325   0.24757   0.30123	-1.14551   0.13912   0.89969   0.10671  
      	     	          	           	          	           	             	                                      	 0.10874  -1.00510   0.15938   0.73698  
      	     	          	           	          	           	             	                                      	 0.71934   0.16303  -1.06916   0.18679  
      	     	          	           	          	           	             	                                      	 0.07012   0.61961   0.15352  -0.84325  

  #65	28   	-32382.76794	Yes        	4        	0.017    	0.000    	 0.19770   0.26092   0.24224   0.29915	-1.27143   0.18531   0.94143   0.14468  
      	     	          	           	          	           	             	                                      	 0.14041  -0.96283   0.16143   0.66099  
      	     	          	           	          	           	             	                                      	 0.76833   0.17388  -1.08281   0.14061  
      	     	          	           	          	           	             	                                      	 0.09561   0.57652   0.11386  -0.78599  

  #66	28   	-31877.53264	Yes        	4        	0.021    	0.000    	 0.20465   0.25184   0.24522   0.29829	-1.19885   0.15977   0.88378   0.15530  
      	     	          	           	          	           	             	                                      	 0.12983  -0.94925   0.17300   0.64642  
      	     	          	           	          	           	             	                                      	 0.73753   0.17766  -1.11216   0.19696  
      	     	          	           	          	           	             	                                      	 0.10655   0.54575   0.16192  -0.81422  

  #67	28   	-31777.28344	Yes        	4        	0.017    	0.000    	 0.20038   0.25679   0.24384   0.29899	-1.24828   0.15232   0.94903   0.14693  
      	     	          	           	          	           	             	                                      	 0.11886  -0.94370   0.15888   0.66595  
      	     	          	           	          	           	             	                                      	 0.77989   0.16732  -1.10329   0.15608  
      	     	          	           	          	           	             	                                      	 0.09847   0.57196   0.12729  -0.79772  

  #68	28   	-31757.52096	Yes        	4        	0.021    	0.000    	 0.19626   0.26010   0.24635   0.29728	-1.28506   0.18211   0.98464   0.11831  
      	     	          	           	          	           	             	                                      	 0.13741  -0.95975   0.17076   0.65158  
      	     	          	           	          	           	             	                                      	 0.78445   0.18029  -1.10233   0.13760  
