#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
compressSegmentOutput_chromId_000_1_0016	CallGenome	complete	0	2019-11-13T14:09:03.365387Z
callGenomeSegment_chromId_000_1_0017	CallGenome	complete	0	2019-11-13T14:06:46.984196Z
compressSegmentOutput_chromId_000_1_0017	CallGenome	complete	0	2019-11-13T14:08:27.658870Z
callGenomeSegment_chromId_000_1_0018	CallGenome	complete	0	2019-11-13T14:07:25.126235Z
compressSegmentOutput_chromId_000_1_0018	CallGenome	complete	0	2019-11-13T14:09:23.507892Z
callGenomeSegment_chromId_000_1_0019	CallGenome	complete	0	2019-11-13T14:11:11.726878Z
compressSegmentOutput_chromId_000_1_0019	CallGenome	complete	0	2019-11-13T14:11:22.003698Z
callGenomeSegment_chromId_000_1_0020	CallGenome	complete	0	2019-11-13T14:07:41.539060Z
compressSegmentOutput_chromId_000_1_0020	CallGenome	complete	0	2019-11-13T14:07:45.072812Z
callGenomeSegment_chromId_003_12_0000	CallGenome	complete	0	2019-11-13T14:06:22.152678Z
compressSegmentOutput_chromId_003_12_0000	CallGenome	complete	0	2019-11-13T14:06:24.631578Z
callGenomeSegment_chromId_003_12_0001	CallGenome	complete	0	2019-11-13T14:07:09.462259Z
compressSegmentOutput_chromId_003_12_0001	CallGenome	complete	0	2019-11-13T14:10:35.315233Z
callGenomeSegment_chromId_003_12_0002	CallGenome	complete	0	2019-11-13T14:08:02.556890Z
compressSegmentOutput_chromId_003_12_0002	CallGenome	complete	0	2019-11-13T14:10:31.079440Z
callGenomeSegment_chromId_003_12_0003	CallGenome	complete	0	2019-11-13T14:05:17.807940Z
compressSegmentOutput_chromId_003_12_0003	CallGenome	complete	0	2019-11-13T14:08:33.406756Z
callGenomeSegment_chromId_003_12_0004	CallGenome	complete	0	2019-11-13T14:10:22.797660Z
compressSegmentOutput_chromId_003_12_0004	CallGenome	complete	0	2019-11-13T14:10:25.227895Z
callGenomeSegment_chromId_003_12_0005	CallGenome	complete	0	2019-11-13T14:09:19.645305Z
compressSegmentOutput_chromId_003_12_0005	CallGenome	complete	0	2019-11-13T14:10:39.557915Z
callGenomeSegment_chromId_003_12_0006	CallGenome	complete	0	2019-11-13T14:09:47.683935Z
compressSegmentOutput_chromId_003_12_0006	CallGenome	complete	0	2019-11-13T14:09:49.979368Z
callGenomeSegment_chromId_003_12_0007	CallGenome	complete	0	2019-11-13T14:06:58.747483Z
compressSegmentOutput_chromId_003_12_0007	CallGenome	complete	0	2019-11-13T14:07:29.376609Z
callGenomeSegment_chromId_003_12_0008	CallGenome	complete	0	2019-11-13T14:05:39.373278Z
compressSegmentOutput_chromId_003_12_0008	CallGenome	complete	0	2019-11-13T14:07:13.520282Z
callGenomeSegment_chromId_003_12_0009	CallGenome	complete	0	2019-11-13T14:09:33.147320Z
compressSegmentOutput_chromId_003_12_0009	CallGenome	complete	0	2019-11-13T14:09:38.216885Z
callGenomeSegment_chromId_003_12_0010	CallGenome	complete	0	2019-11-13T14:06:50.547850Z
compressSegmentOutput_chromId_003_12_0010	CallGenome	complete	0	2019-11-13T14:06:53.615697Z
callGenomeSegment_chromId_003_12_0011	CallGenome	complete	0	2019-11-13T14:07:04.152859Z
compressSegmentOutput_chromId_003_12_0011	CallGenome	complete	0	2019-11-13T14:09:29.302398Z
callGenomeSegment_chromId_008_17_0000	CallGenome	complete	0	2019-11-13T14:10:15.096407Z
compressSegmentOutput_chromId_008_17_0000	CallGenome	complete	0	2019-11-13T14:11:14.302230Z
callGenomeSegment_chromId_008_17_0001	CallGenome	complete	0	2019-11-13T14:06:11.146238Z
compressSegmentOutput_chromId_008_17_0001	CallGenome	complete	0	2019-11-13T14:07:19.447563Z
callGenomeSegment_chromId_008_17_0002	CallGenome	complete	0	2019-11-13T14:08:38.632332Z
compressSegmentOutput_chromId_008_17_0002	CallGenome	complete	0	2019-11-13T14:10:08.661043Z
callGenomeSegment_chromId_008_17_0003	CallGenome	complete	0	2019-11-13T14:06:41.908343Z
compressSegmentOutput_chromId_008_17_0003	CallGenome	complete	0	2019-11-13T14:08:22.858639Z
callGenomeSegment_chromId_008_17_0004	CallGenome	complete	0	2019-11-13T14:10:46.688665Z
compressSegmentOutput_chromId_008_17_0004	CallGenome	complete	0	2019-11-13T14:10:51.068660Z
callGenomeSegment_chromId_008_17_0005	CallGenome	complete	0	2019-11-13T14:08:05.770794Z
compressSegmentOutput_chromId_008_17_0005	CallGenome	complete	0	2019-11-13T14:08:09.632364Z
callGenomeSegment_chromId_008_17_0006	CallGenome	complete	0	2019-11-13T14:10:41.248682Z
compressSegmentOutput_chromId_008_17_0006	CallGenome	complete	0	2019-11-13T14:11:18.309815Z
completedAllGenomeSegments	CallGenome	complete	0	2019-11-13T14:11:22.571954Z
SNV_concat_vcf	CallGenome	complete	0	2019-11-13T14:11:33.154838Z
SNV_index_vcf	CallGenome	complete	0	2019-11-13T14:11:38.395576Z
Indel_concat_vcf	CallGenome	complete	0	2019-11-13T14:11:26.760588Z
Indel_index_vcf	CallGenome	complete	0	2019-11-13T14:11:30.323566Z
mergeRunStats	CallGenome	complete	0	2019-11-13T14:11:43.203478Z
removeTmpDir	CallGenome	complete	0	2019-11-13T14:11:47.123297Z
