#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
CallGenome		workflow	0	0	0	0			CallWorkflow
callGenomeSegment_chromId_000_1_0004	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:47420273-59275340 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0004.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0004.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0004.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0004	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0004		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0004.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0004.vcf"
callGenomeSegment_chromId_000_1_0005	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:59275341-71130408 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0005.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0005.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0005.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0005	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0005		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0005.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0005.vcf"
callGenomeSegment_chromId_000_1_0006	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:71130409-82985476 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0006.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0006.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0006.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0006	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0006		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0006.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0006.vcf"
callGenomeSegment_chromId_000_1_0007	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:82985477-94840544 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0007.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0007.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0007.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0007	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0007		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0007.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0007.vcf"
callGenomeSegment_chromId_000_1_0008	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:94840545-106695612 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0008.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0008.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0008.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0008	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0008		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0008.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0008.vcf"
callGenomeSegment_chromId_000_1_0009	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:106695613-118550680 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0009.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0009.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0009.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0009	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0009		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0009.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0009.vcf"
